paper,role,testing activities,test level,testing strategies,tool availability,tool type,mutation tool,mutation operator,equivalent mutant detection,cost reduction techniques,language,subject size,subject availability,mutant analysis
AbouTrab et al.\cite{aboutrab2013testing},A,test strategy evaluation,n/a,spec.,N,hand.,,well,n/a,n/a,C,n/a,N,
Aichernig et al.\cite{aichernig2011efficient},G,test data generation,int.,spec. (E),Y,exi.,$\mu$java,not suff.,n/a,n/a,java,n/a,N,
Aichernig et al.\cite{aichernig2015killing},G,test data generation,n/a,spec. (E),Y,exi.,$\mu$java,well,manual invest.,n/a,UML,S,N,
Ali et al.\cite{ali2007state},A,test strategy evaluation,int.,spec.,N,n/a,,well,n/a,n/a,java,P,Y,
Andrews et al.\cite{andrews2003general} , A , test oracle,unit,spec.,N,self.,Self-written,well, n/a , mutant sample, C ,"P, S",N,
Andrews et al.\cite{andrews2006using} , A , test strategy evaluation ,n/a,struc. ,N,exi. , \cite{andrews2003general} ,well,  not killed as equivalent , mutant sample, C ,S,Y,*
Androutsopoulos et al.\cite{androutsopoulos2014analysis},A,test strategy evaluation,n/a,others,Y,exi.,SMT-C,well,n/a,"fixed number, weak mutation",C,"S, M",N,
Antoniol et al.\cite{antoniol2002case},A,test strategy evaluation,n/a,spec.,N,n/a,,well,n/a,n/a,C++,S,N,*
Arcaini et al.\cite{arcaini2015using},A,model review,n/a,others,N,n/a,,well,model checker,n/a,spec.,n/a,Y,*
Arcuri and Briand\cite{arcuri2011adaptive},A,test strategy evaluation,n/a,spec.,Y,exi.,MuJava,well,  not killed as equivalent ,mutant sample,java,"P, S",N,
Asoudeh and Labiche\cite{asoudeh2014multi},A,test data generation,n/a,spec. (E),Y,exi.,MAJOR,well,n/a,n/a,java,n/a,N,
Au{\ss}erlechner et al.\cite{ausserlechner2013right},A,fault localisation,other,others,N,n/a,,well,n/a,n/a,spread-sheet,n/a,Y,
Baker and Habli\cite{baker2013empirical},A,test strategy evaluation,n/a,struc. ,"Y, N","exi., hand.",MILU,well,manual invest.,n/a,"C, Ada",P,N,*
Bandyopadhyay and Ghosh\cite{bandyopadhyay2009test},A,test data generation,unit,spec.,Y,exi.,MuJava,well,n/a,n/a,java,S,N,*
Bardin et al.\cite{bardin2015sound},G,test data generation,unit,hybrid ,Y,exi.,MuJava,well,n/a,weak mutation,java,"P, S",Y,
Baudry et al.\cite{baudry2000building},G,"test data generation, test strategy evaluation",unit,struc. (E),N,exi. ,$\mu$Slayer,well,manual invest.,n/a,Eiffel,n/a,Y,
Baudry et al.\cite{baudry2002genes},G,test data generation,sys.,spec. (E),N,self.,,well,manual invest.,n/a,C\#,n/a,N,
Baudry et al.\cite{baudry2005genetic},G,test data generation,"unit, sys.",struc. (E),N,n/a,,well,reduce likelihood,n/a,"Eiffel, C\#",n/a,N,
Belli and Beyaz{\i}t\cite{belli2015exploiting},G,test data generation,other,spec. (E),N,n/a,,well,reduce likelihood,fixed number,n/a,n/a,N,
Belli et al.\cite{belli2011mutation},A,"test data generation, test strategy evaluation",n/a,spec.,N,n/a,,well,deterministic model,n/a,spec.,n/a,N,*
Bertolino et al.\cite{bertolino2012automatic},A,"test data generation, test strategy evaluation",n/a,spec.,N,exi. ,\cite{martin2007fault},well,n/a,n/a,XACML,n/a,N,
Briand et al.\cite{briand2004assessing},A,test strategy evaluation,unit,spec.,N,n/a,,well, manual invest. ,n/a,"java, c++",S,Y,
Briand et al.\cite{briand2004using} , A , test strategy evaluation ,n/a,spec.,N,n/a,,n/a,  not killed as equivalent , n/a," Java, C++ ",n/a,N,
Briand et al.\cite{briand2005improving},A,test strategy evaluation,n/a,hybrid ,N,n/a,,well,n/a,n/a,java,S,Y,
Cai et al.and Lyu\cite{cai2005effect},A,test strategy evaluation,n/a,struc. ,N,n/a,,n/a,n/a,n/a,C,S,N,
